# 从 t=0 出发的完整可行动作序列，1730 秒达到 2745990 矿物。
# 前 105 步来自 src/gen_hist.cpp 导出的束状态动作历史（data/beam105.bin#94 的可达性证明），
# 后 68 步来自该状态出发的 LP 值束搜索兑现。每行 k p q；时间单位 10 秒。
# 官方样例 m=2745943 -> 1740 蕴含 2F[173] <= 2745942，本序列超出 48，
# 因此官方期望答案不是本模型的精确最优解。详见 doc/model_vs_official.md。
# 【此文件仅作证据，数值不用于任何表项】
T=173 minerals=2745990
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 1 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 1
0 0 0
1 0 0
0 0 0
1 0 0
0 0 1
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 1
2 0 0
0 0 0
2 0 0
0 0 1
2 0 0
1 0 0
2 0 0
1 0 0
2 0 1
1 0 0
2 0 0
2 0 0
2 0 1
2 0 0
2 0 1
3 0 0
2 0 0
3 0 1
2 0 0
3 0 1
3 0 0
3 0 1
3 0 0
3 0 1
4 0 1
3 0 0
5 0 1
3 0 1
5 0 1
3 0 1
6 0 0
4 0 1
6 0 1
5 0 1
6 0 1
6 0 2
7 0 1
6 0 1
8 0 1
7 0 2
9 0 1
8 0 2
9 0 1
9 0 2
10 0 2
10 0 2
11 0 2
12 0 2
12 0 2
13 0 2
13 0 3
15 0 2
14 0 3
17 0 3
15 0 3
19 0 3
17 0 3
21 0 4
19 1 3
23 0 4
21 0 4
25 0 5
24 0 4
27 0 5
27 0 5
30 0 5
30 0 6
33 1 6
33 0 6
37 0 7
36 0 7
41 0 7
40 0 8
46 0 8
44 1 8
51 0 9
49 0 10
56 0 9
55 0 11
62 0 10
61 0 12
69 0 12
68 0 14
76 0 13
76 1 14
84 0 15
84 0 16
93 1 16
94 0 18
102 0 18
105 0 19
112 0 21
117 1 21
124 0 23
131 0 24
137 0 25
145 2 26
152 0 28
161 1 29
168 0 31
179 1 32
186 0 34
198 0 36
207 0 38
219 1 40
230 1 42
243 0 44
255 1 47
269 1 49
283 1 52
298 1 54
314 1 0
330 2 0
348 2 0
366 2 0
386 3 0
406 63 0
428 0 0
450 0 0
475 1 0
499 1 0
527 70 0
553 66 0
527 69 0
553 65 0
527 69 0
553 67 0
527 69 0
553 66 0
527 68 0
553 66 0
527 68 0
553 0 0
527 0 0
552 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
