# 从 t=0 出发的完整可行动作序列（前 105 步为 data/beam105.bin#94 的动作历史，
# 由 src/gen_hist.cpp 导出、tools/replay_hist.py 独立重放验证）。每行 k p q；时间单位 10 秒。
# 注意：本序列达到的值【高于】官方样例蕴含的值，属于「本模型最优 > 官方参考解」的证据，
# 数值不用于任何表项。详见 doc/model_vs_official.md。
T=333 minerals=10691286610
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 1 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 1
0 0 0
1 0 0
0 0 0
1 0 0
0 0 1
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 1
2 0 0
0 0 0
2 0 0
0 0 1
2 0 0
1 0 0
2 0 0
1 0 0
2 0 1
1 0 0
2 0 0
2 0 0
2 0 1
2 0 0
2 0 1
3 0 0
2 0 0
3 0 1
2 0 0
3 0 1
3 0 0
3 0 1
3 0 0
3 0 1
4 0 1
3 0 0
5 0 1
3 0 1
5 0 1
3 0 1
6 0 0
4 0 1
6 0 1
5 0 1
6 0 1
6 0 2
7 0 1
6 0 1
8 0 1
7 0 2
9 0 1
8 0 2
9 0 1
9 0 2
10 0 2
10 0 2
11 0 2
12 0 2
12 0 2
13 0 2
13 0 3
15 0 2
14 0 3
17 0 3
15 0 3
19 0 3
17 0 3
21 0 4
19 1 3
23 0 4
21 0 4
25 0 5
24 0 4
27 0 5
27 0 5
30 0 5
30 0 6
33 1 6
33 0 6
37 0 7
36 0 7
41 0 7
40 0 8
46 0 8
44 1 8
51 0 9
49 0 10
56 0 9
55 0 11
62 0 11
61 0 11
69 0 12
68 0 13
76 0 14
76 1 14
84 0 15
84 0 16
93 0 16
94 0 18
102 1 18
105 1 19
113 0 20
116 0 22
125 0 23
129 0 24
139 0 25
143 1 26
154 0 28
159 1 29
170 1 31
177 1 32
188 0 34
196 0 36
208 0 38
218 1 40
231 1 42
242 0 45
256 1 46
268 1 49
284 1 51
297 1 55
315 0 57
329 1 61
349 1 63
365 1 67
387 0 71
405 2 74
429 1 78
450 2 82
475 1 86
499 1 92
526 1 96
554 2 101
583 1 107
615 1 112
646 2 118
682 2 124
717 2 131
756 3 138
795 1 145
838 2 153
881 3 161
930 2 169
977 3 179
1031 2 188
1084 4 198
1143 3 208
1202 3 219
1267 3 232
1333 4 243
1405 3 256
1478 5 270
1558 3 284
1639 5 300
1727 4 315
1818 6 332
1915 5 349
2016 5 368
2123 6 387
2235 6 409
2355 6 429
2478 7 453
2611 6 476
2748 7 502
2895 8 528
3048 9 557
3210 10 585
3380 8 617
3559 8 650
3748 11 684
3946 13 720
4157 9 759
4375 11 799
4610 12 841
4851 12 886
5112 16 932
5379 14 982
5669 14 1034
5964 15 1090
6286 18 1146
6614 18 1208
6970 17 1272
7334 19 1339
7729 21 1410
8133 22 1485
8570 23 1563
9019 25 1647
9502 23 1734
10001 28 1825
10536 27 1923
11091 30 2025
11682 30 2132
12299 33 2245
12954 37 2363
13638 35 2490
14364 39 2621
15123 38 2761
15927 43 2906
16770 45 3061
17661 47 3223
18595 48 3395
19584 52 3574
20620 56 3763
21715 57 3964
22866 61 4173
24078 64 4395
25356 69 4627
26699 70 4873
28117 75 5132
29605 78 5404
31178 82 5690
32828 89 5992
34573 91 6309
36402 97 6645
38336 103 6996
40366 106 7368
42509 113 7758
44761 119 8170
47136 125 8603
49634 132 9059
52268 141 9539
55038 144 10046
57957 154 10578
61031 162 11139
64265 172 11729
67677 179 12352
71261 189 13007
75045 200 13696
79019 212 14422
83215 219 15188
87622 233 15993
92274 245 16840
97161 258 17735
102320 272 18673
107739 287 19665
113459 300 20707
119468 320 21806
125811 333 22961
132475 352 24180
139507 371 25461
146897 391 26812
154695 410 28233
162890 434 29729
171535 455 31308
180625 481 32968
190208 504 34715
200290 535 36556
210915 559 38495
222096 591 40536
233876 620 42686
246276 655 44949
259337 691 47332
273088 725 49843
287570 763 52486
302817 805 55269
318878 848 58199
335785 893 61286
353593 939 64536
372341 989 67958
392088 1043 71561
412877 1098 75356
434774 1154 79353
457826 1217 83560
482106 1281 87991
507669 1350 92657
534592 1420 97571
562938 1496 102745
592791 1575 108192
624224 1660 113930
657327 1747 119972
692182 1839 126334
728888 1937 133032
767538 2041 140087
808240 2148 147516
851099 2261 155338
896231 2382 163575
943756 2510 172249
993802 2640 181384
1046501 2781 191001
1101994 2928 201131
1160431 3086 211795
1221966 3248 0
1286765 3418 0
1354998 3601 0
1426852 3794 0
1502514 3992 0
1582190 4205 0
1666089 4428 0
1754439 4662 0
1847473 4910 0
1945440 256076 0
2048604 269655 0
2157235 256075 0
2048604 269655 0
2157235 256075 0
2048604 269654 0
2157235 256077 0
2048604 269653 0
2157235 256077 0
2048604 269654 0
2157235 256075 0
2048604 269654 0
2157235 0 0
2048604 0 0
2157235 0 0
6 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
