# 从 t=0 出发、逐步可行的 496 步动作序列，4960 秒达到 48610229060554 矿物。
#   0..105   data/beam105.bin#94 的动作历史（src/gen_hist.cpp 导出，tools/replay_hist.py 独立重放验证）
#   105..200 Pi3 自校正成长策略
#   200..440 src/target.cpp 以目标成长值 G*=767487393649185528 搜出的标定轨迹
#            （G* 由官方值 2F[496]=48610229060554 反标定，见 doc/model_vs_official.md）
#   440..496 56 步 LP 值束搜索兑现
# 这个值与 39 样例反推出的官方 2F[496] 逐位相同。每行 k p q；时间单位 10 秒。
T=496 minerals=48610229060554
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 1 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 1
0 0 0
1 0 0
0 0 0
1 0 0
0 0 1
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 1
2 0 0
0 0 0
2 0 0
0 0 1
2 0 0
1 0 0
2 0 0
1 0 0
2 0 1
1 0 0
2 0 0
2 0 0
2 0 1
2 0 0
2 0 1
3 0 0
2 0 0
3 0 1
2 0 0
3 0 1
3 0 0
3 0 1
3 0 0
3 0 1
4 0 1
3 0 0
5 0 1
3 0 1
5 0 1
3 0 1
6 0 0
4 0 1
6 0 1
5 0 1
6 0 1
6 0 2
7 0 1
6 0 1
8 0 1
7 0 2
9 0 1
8 0 2
9 0 1
9 0 2
10 0 2
10 0 2
11 0 2
12 0 2
12 0 2
13 0 2
13 0 3
15 0 2
14 0 3
17 0 3
15 0 3
19 0 3
17 0 3
21 0 4
19 1 3
23 0 4
21 0 4
25 0 5
24 0 4
27 0 5
27 0 5
30 0 5
30 0 6
33 1 6
33 0 6
37 0 7
36 0 7
41 0 7
40 0 8
46 0 8
44 1 8
51 0 9
49 0 10
56 0 9
55 0 11
62 0 11
61 0 11
69 0 12
68 0 13
76 0 14
76 1 14
84 0 15
84 0 16
93 0 16
94 0 18
102 1 18
105 1 19
113 0 20
116 0 22
125 0 23
129 0 24
139 0 25
143 1 26
154 0 28
159 1 29
170 1 31
177 1 32
188 0 34
196 0 36
208 0 38
218 1 40
231 1 42
242 0 45
256 1 46
268 1 49
284 1 51
297 1 55
315 0 57
329 1 61
349 1 63
365 1 67
387 0 71
405 2 74
429 1 78
450 2 82
475 1 86
499 1 92
526 1 96
554 2 101
583 1 107
615 1 112
646 2 118
682 2 124
717 2 131
756 3 138
795 1 145
838 2 153
881 3 161
930 2 169
977 3 179
1031 2 188
1084 4 198
1143 3 208
1202 3 219
1267 3 232
1333 4 243
1405 3 256
1478 5 270
1558 3 284
1639 5 300
1727 4 315
1818 6 332
1915 5 349
2016 5 368
2123 6 387
2235 6 409
2355 6 429
2478 7 453
2611 6 476
2748 7 502
2895 8 528
3048 9 557
3210 8 585
3380 10 617
3559 8 650
3748 11 684
3946 10 720
4157 11 759
4375 11 799
4610 13 841
4851 12 886
5112 14 932
5379 15 982
5669 14 1034
5964 16 1090
6286 17 1146
6614 18 1208
6970 17 1272
7334 22 1339
7729 19 1410
8133 23 1485
8570 23 1563
9019 24 1647
9502 23 1734
10001 31 1825
10536 25 1923
